STATE_FULL,STATE,COUNTY,ADDRESS,CITY,ZIP_CODE,AHA_ID,HOSPITAL_NAME,TOTAL_BEDS,BURN_BEDS,TRAUMA_ADULT,TRAUMA_PEDS,BURN_ADULT,BURN_PEDS,ACS_VERIFIED,ADULT_TRAUMA_L1,ADULT_TRAUMA_L2,PEDS_TRAUMA_L1,PEDS_TRAUMA_L2,ABA_VERIFIED,TC_STATE_DESIGNATED,BC_STATE_DESIGNATED,PHONE
Alaska,AK,Anchorage,4315 Diplomacy Dr,Anchorage,99508,6940010,Alaska Native Medical Center,173,,1,1,,,Yes,,1,,1,,Yes,,(907) 563-2662
Alaska,AK,Anchorage,3200 Providence Dr,Anchorage,99508,6940020,Providence Alaska Medical Center/Children's Hospital at Providence,401,,1,1,,,Yes,,1,,1,,Yes,,(907) 562-2211
Alabama,AL,Houston,1108 Ross Clark Cir,Dothan,36301,6530373,Southeast Alabama Medical Center,387,,1,,,,No,,1,,,,Yes ,,(334) 793-8111
Alabama,AL,Jefferson,619 19th St S,Birmingham,35233,6530304,University of Alabama at Birmingham Hospital (UAB Burn Center),1157,28,1,,1,,Yes,1,,,,No,Yes ,No,(205) 934-3411
Alabama,AL,Jefferson,1600 7th Ave South,Birmingham,35233,6530170,Children's of Alabama (Children's of Alabama Burn Center),351,6,,1,,1,No,,,1,,No,Yes ,No,(205) 638-9100
Alabama,AL,Madison,101 Sivley Rd,Huntsville,35801,6530510,Huntsville Hospital ,958,,1,,,,No,1,,,,,Yes ,,(256) 265-1000
Alabama,AL,Mobile,2451 University Hospital Dr,Mobile,36617,6530600,USA Health University Hospital (Arnold Luterman Regional Burn Center),214,18,1,,1,,No,1,,,,No,Yes ,No,(251) 471-7000
Alabama,AL,Montgomery,2105 E South Blvd,Montgomery,36116,6530705,Baptist Medical Center South ,492,,1,,,,No,,1,,,,Yes ,,(334) 288-2100
Arizona,AZ,Coconino,1200 N Beaver St,Flagstaff,86001,6860021,Flagstaff Medical Center,268,,1,,,,Yes,,1,,,,Yes,,(928) 779-3366
Arizona,AZ,Maricopa,1955 W Frye Rd,Chandler,85224,6860028,Chandler Regional Medical Center,338,,1,,,,Yes,1,,,,,Yes,,(480) 728-3000
Arizona,AZ,Maricopa,5555 W Thunderbird Rd,Glendale,85306,6860013,Banner Thunderbird Medical Center,595,,1,,,,Yes,,1,,,,Yes,,(602) 865-5555
Arizona,AZ,Maricopa,13677 W McDowell Rd,Goodyear,85395,6860027,Abrazo West Campus,188,,1,,,,Yes,,1,,,,Yes,,(623) 882-1500
Arizona,AZ,Maricopa,1400 S Dobson Rd,Mesa,85202,6860016,Banner Desert Medical Center/Banner Children's at Desert,605,,1,1,,,Yes,,1,,1,,Yes,,(480) 412-3000
Arizona,AZ,Maricopa,1111 E McDowell Rd,Phoenix,85006,6860250,Banner University Medical Center - Phoenix,698,,1,,,,Yes,1,,,,,Yes,,(602) 239-2000
Arizona,AZ,Maricopa,350 W Thomas Rd,Phoenix,85013,6860280,St. Joseph's Hospital and Medical Center,594,,1,,,,Yes,1,,,,,Yes,,(602) 406-3000
Arizona,AZ,Maricopa,19829 North 27th Ave,Phoenix,85027,6860325,HonorHealth Deer Valley Medical Center,204,,1,,,,Yes,,1,,,,Yes,,(623) 879-6100
Arizona,AZ,Maricopa,250 E Dunlap Ave,Phoenix,85020,6860253,HonorHealth John C. Lincoln Medical Center,262,,1,,,,Yes,1,,,,,Yes,,(602) 943-2381
Arizona,AZ,Maricopa,1919 E Thomas Rd,Phoenix,85016,6860210,Phoenix Children's Hospital,403,,,1,,,Yes,,,1,,,Yes,,(602) 933-1000
Arizona,AZ,Maricopa,2601 E Roosevelt St,Phoenix,85008,6860255,Valleywise Health (Arizona Burn Center),544,45,1,,1,1,Yes,1,,,,Yes,Yes,No,(602) 344-5011
