"State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Alabama","116","5,108,468","2.27","1.98","1,406"
"Alaska","22","733,406","3.00","2.87","268"
"Arizona","84","7,431,344","1.13","1.02","1,451"
"Arkansas","82","3,067,732","2.67","2.23","841"
"California","232","38,965,193","0.60","0.54","3,079"
"Colorado","35","5,877,610","0.60","0.52","474"
"Connecticut","31","3,617,176","0.86","0.66","309"
"Delaware","16**","1,031,890","1.55**","1.35**","248"
"District of Columbia","--","678,972","--","--","--"
"Florida","173","22,610,726","0.77","0.61","2,116"
"Georgia","139","11,029,227","1.26","1.14","1,324"
"Hawaii","108","1,435,138","7.53","5.45","665"
"Idaho","16**","1,964,726","0.81**","0.65**","92"
"Illinois","145","12,549,689","1.16","1.00","1,385"
"Indiana","105","6,862,199","1.53","1.35","1,436"
"Iowa","34","3,207,004","1.06","0.91","307"
"Kansas","58","2,940,546","1.97","1.71","766"
"Kentucky","91","4,526,154","2.01","1.67","1,085"
"Louisiana","71","4,573,749","1.55","1.42","1,267"
"Maine","19**","1,395,722","1.36**","1.25**","267"
"Maryland","77","6,180,253","1.25","1.06","989"
"Massachusetts","44","7,001,399","0.63","0.47","242"
"Michigan","144","10,037,261","1.44","1.19","1,780"
"Minnesota","50","5,737,915","0.87","0.72","444"
"Mississippi","83","2,939,690","2.82","2.49","1,002"
"Missouri","100","6,196,156","1.61","1.38","1,108"
"Montana","12**","1,132,812","1.06**","0.97**","165"
"Nebraska","15**","1,978,379","0.76**","0.68**","159"
"Nevada","37","3,194,176","1.16","1.09","736"
"New Hampshire","13**","1,402,054","0.93**","0.66**","64"
"New Jersey","74","9,290,841","0.80","0.69","1,126"
"New Mexico","39","2,114,371","1.85","1.81","776"
"New York","220","19,571,216","1.12","0.95","2,772"
"North Carolina","146","10,835,491","1.35","1.17","1,835"
"North Dakota","10**","783,926","1.28**","1.08**","152"
"Ohio","165","11,785,935","1.40","1.22","2,063"
"Oklahoma","107","4,053,824","2.64","2.33","1,327"
"Oregon","55","4,233,358","1.30","1.14","698"
"Pennsylvania","176","12,961,683","1.36","1.13","2,082"
"Rhode Island","--","1,095,962","--","--","--"
"South Carolina","95","5,373,555","1.77","1.46","1,031"
"South Dakota","11**","919,318","1.20**","1.20**","232"
"Tennessee","148","7,126,489","2.08","1.85","2,136"
"Texas","287","30,503,301","0.94","0.90","3,417"
"Utah","17**","3,417,734","0.50**","0.50**","166"
"Vermont","--","647,464","--","--","--"
"Virginia","67","8,715,698","0.77","0.66","530"
"Washington","92","7,812,880","1.18","1.07","1,444"
"West Virginia","44","1,770,071","2.49","2.08","533"
"Wisconsin","64","5,910,955","1.08","0.84","492"
"Wyoming","--","584,057","--","--","--"
"Total","4,001","334,914,895","1.19","1.03","48,571"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2023","","","","",""
"Geography: United States","","","","",""
"Intent: All Intents","","","","",""
"Mechanism: Fire/burn","","","","",""
"Age: All Ages","","","","",""
"Sex: All Sexes","","","","",""
"Race: All Races","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2018 - 2023 by Single Race","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","",""
"--* indicates secondary suppression.","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","",""
"Reports for All Ages include those of unknown age.","","","","",""
"Data sources:","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""
