STATE,population
AK,730307.0
AL,4817528.0
AR,2949828.0
AZ,6551149.0
CA,37999878.0
CO,5189458.0
CT,3591765.0
DC,633427.0
DE,917053.0
FL,19320749.0
GA,9915646.0
HI,1390090.0
IA,3075039.0
ID,1595590.0
IL,12868192.0
IN,6537782.0
KS,2885398.0
KY,4379730.0
LA,4602134.0
MA,6645303.0
MD,5884868.0
ME,1328501.0
MI,9882519.0
MN,5379646.0
MO,6024522.0
MS,2986450.0
MT,1005494.0
NC,9748364.0
ND,701345.0
NE,1855350.0
NH,1321617.0
NJ,8867749.0
NM,2083540.0
NV,2754354.0
NY,19576125.0
OH,11553031.0
OK,3815780.0
OR,3899801.0
PA,12764475.0
RI,1050304.0
SC,4723417.0
SD,834047.0
TN,6454914.0
TX,26060796.0
UT,2854871.0
VA,8186628.0
VT,625953.0
WA,6895318.0
WI,5724554.0
WV,1856680.0
WY,576626.0
