STATE,total_burn_beds,adult_burn_beds,peds_burn_beds,beds_no_flag
AK,0.0,0.0,0.0,0.0
AL,52.0,46.0,6.0,0.0
AR,10.0,10.0,10.0,0.0
AZ,80.0,80.0,80.0,0.0
CA,140.0,130.0,120.0,0.0
CO,52.0,49.0,23.0,0.0
CT,9.0,9.0,0.0,0.0
DC,41.0,10.0,31.0,0.0
DE,0.0,0.0,0.0,0.0
FL,85.0,85.0,18.0,0.0
GA,129.0,129.0,129.0,0.0
HI,7.0,7.0,7.0,0.0
IA,17.0,17.0,17.0,0.0
ID,15.0,15.0,15.0,0.0
IL,77.0,77.0,69.0,0.0
IN,41.0,31.0,26.0,0.0
KS,28.0,28.0,28.0,0.0
KY,16.0,16.0,0.0,0.0
LA,47.0,47.0,6.0,0.0
MA,52.0,37.0,15.0,0.0
MD,20.0,20.0,0.0,0.0
ME,6.0,6.0,0.0,0.0
MI,69.0,59.0,34.0,0.0
MN,50.0,50.0,50.0,0.0
MO,93.0,74.0,61.0,0.0
MS,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0
NC,60.0,60.0,60.0,0.0
ND,0.0,0.0,0.0,0.0
NE,16.0,16.0,16.0,0.0
NH,0.0,0.0,0.0,0.0
NJ,12.0,12.0,12.0,0.0
NM,10.0,10.0,10.0,0.0
NV,31.0,31.0,31.0,0.0
NY,143.0,143.0,109.0,0.0
OH,94.0,72.0,48.0,0.0
OK,33.0,33.0,13.0,0.0
OR,16.0,16.0,16.0,0.0
PA,83.0,65.0,50.0,0.0
RI,0.0,0.0,0.0,0.0
SC,25.0,25.0,25.0,0.0
SD,0.0,0.0,0.0,0.0
TN,51.0,51.0,37.0,0.0
TX,206.0,176.0,116.0,0.0
UT,15.0,15.0,15.0,0.0
VA,68.0,68.0,52.0,0.0
VT,9.0,9.0,0.0,0.0
WA,40.0,40.0,40.0,0.0
WI,28.0,23.0,28.0,0.0
WV,4.0,4.0,0.0,0.0
