STATE,total_facilities,adult_burn,peds_burn,both_burn,adult_only_burn,peds_only_burn,mismatch_adult_only,mismatch_peds_only,gap_no_burn,child_referral_needed,adult_referral_needed
AK,2,0,0,0,0,0,False,False,True,True,True
AL,6,2,1,0,2,1,False,False,False,False,False
AR,6,1,1,1,0,0,False,False,False,False,False
AZ,14,2,2,2,0,0,False,False,False,False,False
CA,62,12,11,10,2,1,False,False,False,False,False
CO,19,3,2,1,2,1,False,False,False,False,False
CT,12,1,0,0,1,0,True,False,False,True,False
DC,4,1,1,0,1,1,False,False,False,False,False
DE,2,0,0,0,0,0,False,False,True,True,True
FL,36,6,2,2,4,0,False,False,False,False,False
GA,16,3,3,3,0,0,False,False,False,False,False
HI,3,1,1,1,0,0,False,False,False,False,False
IA,4,1,1,1,0,0,False,False,False,False,False
ID,4,1,1,1,0,0,False,False,False,False,False
IL,57,5,4,4,1,0,False,False,False,False,False
IN,9,3,3,2,1,1,False,False,False,False,False
KS,5,2,2,2,0,0,False,False,False,False,False
KY,4,1,0,0,1,0,True,False,False,True,False
LA,9,4,1,1,3,0,False,False,False,False,False
MA,11,2,1,0,2,1,False,False,False,False,False
MD,6,1,1,0,1,1,False,False,False,False,False
ME,2,1,0,0,1,0,True,False,False,True,False
MI,36,5,3,2,3,1,False,False,False,False,False
MN,11,3,3,3,0,0,False,False,False,False,False
MO,20,5,5,3,2,2,False,False,False,False,False
MS,4,0,0,0,0,0,False,False,True,True,True
MT,4,0,0,0,0,0,False,False,True,True,True
NC,9,2,2,2,0,0,False,False,False,False,False
ND,6,0,0,0,0,0,False,False,True,True,True
NE,7,1,1,1,0,0,False,False,False,False,False
NH,4,0,0,0,0,0,False,False,True,True,True
NJ,11,1,1,1,0,0,False,False,False,False,False
NM,1,1,1,1,0,0,False,False,False,False,False
NV,3,2,2,2,0,0,False,False,False,False,False
NY,36,10,7,7,3,0,False,False,False,False,False
OH,26,6,4,2,4,2,False,False,False,False,False
OK,3,2,1,1,1,0,False,False,False,False,False
OR,7,1,1,1,0,0,False,False,False,False,False
PA,36,6,3,2,4,1,False,False,False,False,False
RI,1,1,1,1,0,0,False,False,False,False,False
SC,8,1,1,1,0,0,False,False,False,False,False
SD,3,0,0,0,0,0,False,False,True,True,True
TN,8,3,2,2,1,0,False,False,False,False,False
TX,48,8,6,4,4,2,False,False,False,False,False
UT,8,1,1,1,0,0,False,False,False,False,False
VA,14,3,2,2,1,0,False,False,False,False,False
VT,1,1,0,0,1,0,True,False,False,True,False
WA,8,1,1,1,0,0,False,False,False,False,False
WI,14,2,3,2,0,1,False,False,False,False,False
WV,5,1,0,0,1,0,True,False,False,True,False
