STATE,facilities,total_beds,burn_beds,adult_trauma_centers,peds_trauma_centers,adult_burn_centers,peds_burn_centers,population,total_beds_per_100k,burn_beds_per_100k,largest_single_facility_beds,capacity_loss_pct
AK,2,574,0.0,2,2,0,0,730307.0,78.59708314448582,0.0,401,69.86062717770035
AL,6,3559,52.0,5,1,2,1,4817528.0,73.87606257815212,1.0793917544433576,1157,32.50913177858949
AR,6,2794,10.0,5,1,1,1,2949828.0,94.71738691205047,0.3390028164353989,740,26.48532569792412
AZ,14,6110,80.0,13,3,2,2,6551149.0,93.26608202622167,1.2211598301305617,698,11.423895253682488
CA,62,22552,140.0,52,11,12,11,37999878.0,59.347558957952444,0.3684222354608612,889,3.9420007094714435
CO,19,6332,52.0,17,3,3,2,5189458.0,122.01659595279506,1.0020314260179002,825,13.029058749210359
CT,12,6652,9.0,11,2,1,0,3591765.0,185.20142603984394,0.25057318616334867,1573,23.647023451593505
DC,4,1920,41.0,3,1,1,1,633427.0,303.113065909726,6.472726928280608,926,48.229166666666664
DE,2,1277,0.0,1,1,0,0,917053.0,139.25040319370854,0.0,1140,89.27173061863743
FL,36,19224,85.0,33,8,6,2,19320749.0,99.49924819167208,0.43994153642801326,1550,8.062838119017893
GA,16,8153,129.0,13,3,3,3,9915646.0,82.22358886148214,1.3009742380879672,961,11.787072243346007
HI,3,1246,7.0,2,0,1,1,1390090.0,89.63448409815192,0.5035645174053479,637,51.12359550561798
IA,4,2296,17.0,4,3,1,1,3075039.0,74.66571968680722,0.552838516844827,875,38.109756097560975
ID,4,1471,15.0,3,1,1,1,1595590.0,92.19160310606108,0.9400911261664964,579,39.360978925900746
IL,57,18258,77.0,56,5,5,4,12868192.0,141.8847340791931,0.5983746590041553,894,4.8964837331580675
IN,9,4659,41.0,8,5,3,3,6537782.0,71.26270040818125,0.6271240001578516,836,17.94376475638549
KS,5,3212,28.0,5,1,2,2,2885398.0,111.31913171077265,0.9704033897576695,910,28.33125778331258
KY,4,1997,16.0,3,2,1,0,4379730.0,45.59641804403468,0.36531932333728334,945,47.32098147220831
LA,9,3739,47.0,7,0,4,1,4602134.0,81.24491811842071,1.0212653521170831,988,26.424177587590265
MA,11,5719,52.0,9,5,2,1,6645303.0,86.06078609207135,0.7825075846804879,999,17.46808882671796
MD,6,2673,20.0,6,1,1,1,5884868.0,45.42157954944784,0.33985469172800475,1091,40.81556303778526
ME,2,1048,6.0,2,0,1,0,1328501.0,78.88590223116128,0.45163684483489286,637,60.782442748091604
MI,36,16872,69.0,35,7,5,3,9882519.0,170.72570262703263,0.6982025534178078,1398,8.285917496443812
MN,11,5293,50.0,9,5,3,3,5379646.0,98.38937357588213,0.9294291854891567,1265,23.899489892310598
MO,20,9605,93.0,17,3,5,5,6024522.0,159.43173582900022,1.54369093514805,1405,14.627798021863613
MS,4,2237,0.0,4,0,0,0,2986450.0,74.90498752699693,0.0,722,32.27536879749665
MT,4,1357,0.0,4,0,0,0,1005494.0,134.95853779336326,0.0,530,39.05674281503316
NC,9,7360,60.0,9,4,2,2,9748364.0,75.49984797449089,0.6154878910963932,974,13.233695652173912
ND,6,1453,0.0,6,1,0,0,701345.0,207.17335975874926,0.0,286,19.683413626978666
NE,7,2366,16.0,5,1,1,1,1855350.0,127.52310884738729,0.862370981216482,718,30.346576500422657
NH,4,1207,0.0,4,1,0,0,1321617.0,91.32751773017448,0.0,396,32.8086164043082
NJ,11,6037,12.0,10,4,1,1,8867749.0,68.07815602358615,0.13532182744459725,965,15.98476064270333
NM,1,556,10.0,1,0,1,1,2083540.0,26.68535281300095,0.47995238872303864,556,100.0
NV,3,2073,31.0,3,1,2,2,2754354.0,75.26265686981411,1.125490768434268,808,38.97732754462132
NY,36,18413,143.0,33,13,10,7,19576125.0,94.05845130228786,0.7304816453715942,912,4.953022321186118
OH,26,14406,94.0,21,8,6,4,11553031.0,124.69454985449273,0.8136392951771704,1059,7.351103706788837
OK,3,1264,33.0,2,1,2,1,3815780.0,33.12559948424699,0.8648297333703725,749,59.25632911392405
OR,7,2768,16.0,7,2,1,1,3899801.0,70.97798067132143,0.4102773449209331,576,20.809248554913296
PA,36,15191,83.0,32,6,6,3,12764475.0,119.00998670137237,0.6502421760393593,926,6.095714567836219
RI,1,719,0.0,1,1,1,1,1050304.0,68.45637072695143,0.0,719,100.0
SC,8,4337,25.0,7,4,1,1,4723417.0,91.81912162318085,0.5292778511827348,865,19.94466220890016
SD,3,1507,0.0,3,1,0,0,834047.0,180.6852611423577,0.0,545,36.16456536164566
TN,8,4139,51.0,7,2,3,2,6454914.0,64.1216908544405,0.7900957317169524,897,21.671901425465087
TX,48,22794,206.0,40,10,8,6,26060796.0,87.46471136184789,0.7904593551171654,1008,4.4222163727296655
UT,8,2869,15.0,7,1,1,1,2854871.0,100.49490852651486,0.5254177859525001,527,18.368769606134542
VA,14,7153,68.0,13,3,3,2,8186628.0,87.37419118103327,0.8306228156452204,923,12.903676778973857
VT,1,620,9.0,1,1,1,0,625953.0,99.04897013034525,1.4378076309243666,620,100.0
WA,8,2978,40.0,7,3,1,1,6895318.0,43.18872603119972,0.5801037747642676,644,21.6252518468771
WI,14,4839,28.0,12,3,2,3,5724554.0,84.53060273341819,0.48912107388628,702,14.507129572225667
WV,5,2565,4.0,5,1,1,0,1856680.0,138.14981580024562,0.2154383092401491,956,37.27095516569201
