STATE,facilities,total_beds,burn_beds,adult_trauma_centers,peds_trauma_centers,adult_burn_centers,peds_burn_centers,population,total_beds_per_100k,burn_beds_per_100k,largest_single_facility_beds,capacity_loss_pct,broadband_pct,digital_coverage_pct,rural_county_share,provider_density_score,svi_weighted,access_gap_component,fragility_component,rurality_component,digital_gap_component,provider_shortage_component,vulnerability_component,telemedicine_priority_score
NM,1,556,10.0,1,0,1,1,2083540.0,26.68535281300095,0.47995238872303864,556,100.0,86.6,40.6420219,78.78787878787878,272.41531878747867,0.8151928572950153,1.0,1.0,0.8754208754208753,0.5964699102934571,0.19883705332213603,1.0,80.06091758554703
AK,2,574,0.0,2,2,0,0,730307.0,78.59708314448582,0.0,401,69.86062717770035,91.6,0.8755970999999999,90.0,155.57531162821138,0.5713242878197549,0.2757605915840086,0.6862377621342834,1.0,1.0,0.3632492885187574,0.6217324514979227,61.96230732186467
OK,3,1264,33.0,2,1,2,1,3815780.0,33.12559948424699,0.8648297333703725,749,59.25632911392405,88.6,65.5895549,76.62337662337663,279.38213696499895,0.7199048874737848,0.7868124533569278,0.5758430199774801,0.8513708513708514,0.3433146347041129,0.1933779780860379,0.8521976537461365,61.91187340219248
MS,4,2237,0.0,4,0,0,0,2986450.0,74.90498752699693,0.0,722,32.27536879749665,84.3,46.8862145,75.60975609756098,58.4628185284843,0.7527539522840999,0.2941112563020818,0.29496104746394514,0.8401084010840109,0.5331069197129479,1.0,0.9031502436724259,60.92268058655199
VT,1,620,9.0,1,1,1,0,625953.0,99.04897013034525,1.4378076309243666,620,100.0,90.7,25.559460499999997,78.57142857142857,110.37200987236356,0.2262337142910397,0.19888773556080236,1.0,0.873015873015873,0.7495203136263321,0.5202440969358488,0.08645820299282617,53.410770687583266
KY,4,1997,16.0,3,2,1,0,4379730.0,45.59641804403468,0.36531932333728334,945,47.32098147220831,89.1,48.8230241,67.5,174.78493595224555,0.5199276092370865,0.5452126853591781,0.4515915497212952,0.75,0.513453129975418,0.32111953131139975,0.5420104288918587,52.30293673247903
NV,3,2073,31.0,3,1,2,2,2754354.0,75.26265686981411,1.125490768434268,808,38.97732754462132,91.5,28.1079463,70.58823529411765,1031.3273529699052,0.8075044813913348,0.2922547883310801,0.36473096560324053,0.7843137254901962,0.7236595351263285,0.03774350723739713,0.9880744652281125,50.78420268855612
WV,5,2565,4.0,5,1,1,0,1856680.0,138.14981580024562,0.2154383092401491,956,37.27095516569201,86.4,32.4185318,63.63636363636363,67.8233116072745,0.45045449286015854,0.11527317695245592,0.34696698559603295,0.7070707070707071,0.6799178368909186,0.8592155300315807,0.4342498204819833,48.293142624879735
AR,6,2794,10.0,5,1,1,1,2949828.0,94.71738691205047,0.3390028164353989,740,26.48532569792412,86.8,48.6016422,77.33333333333333,130.8851705429288,0.6796498657520915,0.21239797405684346,0.23468451513621602,0.8592592592592592,0.5156996044426526,0.4355607622714106,0.7897575926331872,47.83437535756197
MT,4,1357,0.0,4,0,0,0,1005494.0,134.95853779336326,0.0,530,39.05674281503316,89.2,29.0358127,82.14285714285714,79.11156484924241,0.30503840764214535,0.12028170361898799,0.3655577085189622,0.9126984126984127,0.7142440039713203,0.733750544295508,0.20869313563921923,47.031199667326035
ME,2,1048,6.0,2,0,1,0,1328501.0,78.88590223116128,0.45163684483489286,637,60.782442748091604,90.7,23.2012308,68.75,191.39460651906325,0.2996123009709945,0.2743975280794848,0.5917304384688002,0.7638888888888888,0.7734504669447574,0.29150928037688184,0.2002766346000592,46.17277384117793
AL,6,3559,52.0,5,1,2,1,4817528.0,73.87606257815212,1.0793917544433576,1157,32.50913177858949,87.4,47.257328199999996,53.73134328358209,203.30025870769867,0.6243346247244481,0.2995520874357334,0.2973946082586669,0.5970149253731344,0.5293410406980377,0.27326190827056357,0.7039574394467765,43.50335101660102
OR,7,2768,16.0,7,2,1,1,3899801.0,70.97798067132143,0.4102773449209331,576,20.809248554913296,92.4,23.9636042,58.333333333333336,428.7951756029138,0.5883636829705767,0.31572466717652165,0.17559441139750018,0.6481481481481481,0.7657142772309696,0.11899822422867215,0.648162467655923,43.24237960933124
ID,4,1471,15.0,3,1,1,1,1595590.0,92.19160310606108,0.9400911261664964,579,39.360978925900746,92.1,32.081728399999996,68.18181818181817,171.0842178502244,0.40890858121070556,0.2208618857782909,0.3687249211729279,0.7575757575757575,0.683335551882875,0.32850004890936263,0.36980744406694155,43.140702998575236
WA,8,2978,40.0,7,3,1,1,6895318.0,43.18872603119972,0.5801037747642676,644,21.6252518468771,93.6,42.7083478,51.28205128205128,1038.7141831181332,0.4906480051307471,0.5809890194406115,0.18408931341493437,0.5698005698005697,0.575501852943983,0.037332281508557726,0.49659447352603237,42.47450285392645
LA,9,3739,47.0,7,0,4,1,4602134.0,81.24491811842071,1.0212653521170831,988,26.424177587590265,85.4,55.854303,42.1875,185.79589828825326,0.7760263727587227,0.2636271415642686,0.23404794024619657,0.46875,0.4421031753456339,0.30089865748494726,0.939248382352565,42.36640087054686
SD,3,1507,0.0,3,1,0,0,834047.0,180.6852611423577,0.0,545,36.16456536164566,89.9,59.835735,87.87878787878788,82.27680519689596,0.3509606130003976,0.06541068584465344,0.33544905047123336,0.9764309764309764,0.40170156468536405,0.704750139341712,0.2799236352483017,42.10909763878015
TN,8,4139,51.0,7,2,3,2,6454914.0,64.1216908544405,0.7900957317169524,897,21.671901425465087,89.6,48.1090199,53.68421052631579,270.5933414055645,0.5525032208021871,0.3598061898113862,0.18457495312149225,0.5964912280701754,0.5206984928745452,0.20031109279695075,0.5925388621139044,40.41437417994067
IA,4,2296,17.0,4,3,1,1,3075039.0,74.66571968680722,0.552838516844827,875,38.109756097560975,89.6,67.98674460000001,77.77777777777779,135.41515289659756,0.3030101193350803,0.29536309497314645,0.3556992196427988,0.8641975308641976,0.31898913449760186,0.42031835482543384,0.20554703260831286,39.85534646090383
HI,3,1246,7.0,2,0,1,1,1390090.0,89.63448409815192,0.5035645174053479,637,51.12359550561798,91.3,34.5286056,40.0,684.3500701674682,0.5622894013397316,0.22991671942544759,0.49117819592978657,0.4444444444444444,0.6585058474027052,0.0670619536522372,0.6077183275493272,39.781549520313696
